Startup-Time:    0.000000
timestamp, pos_x, pos_y, pos_z, vel_x, vel_y, acc_x, acc_y, acc_z, att_force_x, att_force_y, att_force_z, member_force_x, member_force_y, member_force_z, rep_force_x, rep_force_y, rep_force_z
   4.380868,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109101.3047, -90674.6719,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.443396,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109101.3047, -90674.6719,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.505924,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 65560.1797, -54297.1016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.568452,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 65560.1797, -54297.1016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.630980,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 65560.1797, -54297.1016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.693508,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 65560.1797, -54297.1016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.756036,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.818564,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.881092,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.943620,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.006148,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.068676,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.131204,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.193732,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.256260,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.318788,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.381316,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.443844,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.506372,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.568900,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.631428,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.693956,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.756484,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.819012,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.881540,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   5.944068,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43761.5117, -36135.6016,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.006596,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   6.069124,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43787.4219, -36119.8438,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
