Startup-Time:    0.000000 at 1932.740742061 sec
drone_timestamp, sys_timestamp, own_x, own_y, member_50_x, member_50_y, member_51_x, member_51_y
  53.443855, 1986.180458719,    -7.4988,   -39.6148,    -5.7891,  -125.4570,    -7.4988,   -39.6148
  53.842468, 1986.557535617,    -7.5226,   -40.3422,    -5.9766,  -124.4688,    -7.5226,   -40.3422
  54.241085, 1986.985443709,    -7.5460,   -41.0691,    -6.1562,  -123.5781,    -7.5460,   -41.0691
  54.639702, 1987.360074830,    -7.5691,   -41.7953,    -6.3398,  -122.6797,    -7.5691,   -41.7953
  55.038319, 1987.765619832,    -7.5917,   -42.5204,    -6.3398,  -122.6797,    -7.5917,   -42.5204
  55.436935, 1988.145961513,    -7.6141,   -43.2446,    -6.5391,  -121.7773,    -7.6141,   -43.2446
  55.835548, 1988.562938981,    -7.6365,   -43.9678,    -6.7266,  -120.8594,    -7.6365,   -43.9678
  56.234165, 1988.973604589,    -7.6589,   -44.6917,    -6.9180,  -119.9766,    -7.6589,   -44.6917
  56.632782, 1989.367462585,    -7.6814,   -45.4163,    -7.1289,  -119.0391,    -7.6814,   -45.4163
  57.031399, 1989.753044459,    -7.7038,   -46.1411,    -7.1289,  -119.0391,    -7.7038,   -46.1411
  57.430016, 1990.138636231,    -7.7262,   -46.8658,    -7.3281,  -118.1094,    -7.7262,   -46.8658
  57.828629, 1990.564131249,    -7.7483,   -47.5898,    -7.5273,  -117.2695,    -7.7483,   -47.5898
  58.227245, 1990.943639977,    -7.7703,   -48.3133,    -7.7383,  -116.3164,    -7.7703,   -48.3133
  58.625862, 1991.333421330,    -7.7923,   -49.0361,    -7.9570,  -115.4180,    -7.7923,   -49.0361
  59.024479, 1991.760544501,    -7.8143,   -49.7580,    -7.9570,  -115.4180,    -7.8143,   -49.7580
  59.423096, 1992.141279067,    -7.8368,   -50.4805,    -8.1797,  -114.4766,    -7.8368,   -50.4805
  59.821709, 1992.526876363,    -7.8598,   -51.2040,    -8.4062,  -113.5664,    -7.8598,   -51.2040
  60.220325, 1992.944048272,    -7.8834,   -51.9279,    -8.6289,  -112.6992,    -7.8834,   -51.9279
  60.618942, 1993.364215724,    -7.9075,   -52.6514,    -8.8867,  -111.7500,    -7.9075,   -52.6514
  61.017559, 1993.744303020,    -7.9323,   -53.3743,    -8.8867,  -111.7500,    -7.9323,   -53.3743
  61.416176, 1994.119040135,    -7.9577,   -54.0965,    -9.1289,  -110.8594,    -7.9577,   -54.0965
  61.814789, 1994.529977876,    -7.9834,   -54.8180,    -9.3789,  -109.9492,    -7.9834,   -54.8180
  62.213406, 1994.940102985,    -8.0100,   -55.5384,    -9.6367,  -109.0469,    -8.0100,   -55.5384
  62.612022, 1995.324665966,    -8.0375,   -56.2593,    -9.6367,  -109.0469,    -8.0375,   -56.2593
  63.010639, 1995.732507323,    -8.0660,   -56.9811,    -9.9180,  -108.1484,    -8.0660,   -56.9811
  63.409252, 1996.149819562,    -8.0953,   -57.7030,   -10.1992,  -107.2500,    -8.0953,   -57.7030
  63.807869, 1996.519287620,    -8.1259,   -58.4249,   -10.5000,  -106.3477,    -8.1259,   -58.4249
  64.206490, 1996.941636923,    -8.1576,   -59.1462,   -10.8086,  -105.4570,    -8.1576,   -59.1462
  64.605103, 1997.325941698,    -8.1908,   -59.8668,   -10.8086,  -105.4570,    -8.1908,   -59.8668
  65.003716, 1997.743092760,    -8.2256,   -60.5867,   -11.1484,  -104.5391,    -8.2256,   -60.5867
  65.402336, 1998.125181220,    -8.2625,   -61.3058,   -11.5078,  -103.6289,    -8.2625,   -61.3058
  65.800949, 1998.539158919,    -8.3024,   -62.0257,   -11.8867,  -102.7383,    -8.3024,   -62.0257
  66.199570, 1998.908812567,    -8.3460,   -62.7467,   -12.2969,  -101.8594,    -8.3460,   -62.7467
  66.598183, 1999.326777248,    -8.3950,   -63.4682,   -12.2969,  -101.8594,    -8.3950,   -63.4682
  66.996796, 1999.709500225,    -8.4514,   -64.1855,   -12.7578,  -100.9375,    -8.4514,   -64.1855
  67.395416, 2000.126909216,    -8.5112,   -64.8545,   -13.2695,  -100.0781,    -8.5112,   -64.8545
  67.794029, 2000.512867891,    -8.5790,   -65.4141,   -13.8672,   -99.1562,    -8.5790,   -65.4141
  68.192642, 2000.895040458,    -8.7703,   -65.7674,   -14.5195,   -98.3477,    -8.7703,   -65.7674
  68.591263, 2001.316323372,    -9.1225,   -65.8549,   -14.5195,   -98.3477,    -9.1225,   -65.8549
  68.989876, 2001.693423381,    -9.5930,   -65.7175,   -15.2773,   -97.5000,    -9.5930,   -65.7175
  69.388496, 2002.109832396,   -10.1387,   -65.4157,   -16.0781,   -96.6562,   -10.1387,   -65.4157
  69.787109, 2002.519894906,   -10.7302,   -65.0004,   -16.8789,   -95.8398,   -10.7302,   -65.0004
  70.185722, 2002.890680307,   -11.3499,   -64.5081,   -17.6875,   -95.0273,   -11.3499,   -64.5081
  70.584343, 2003.284641037,   -11.9872,   -63.9642,   -17.6875,   -95.0273,   -11.9872,   -63.9642
  70.982956, 2003.709017576,   -12.6358,   -63.3851,   -18.5391,   -94.1992,   -12.6358,   -63.3851
  71.381577, 2004.096991022,   -13.2914,   -62.7819,   -19.4062,   -93.3672,   -13.2914,   -62.7819
  71.780190, 2004.512934353,   -13.9512,   -62.1621,   -20.2500,   -92.5469,   -13.9512,   -62.1621
  72.178802, 2004.890573859,   -14.6148,   -61.5297,   -21.0781,   -91.7383,   -14.6148,   -61.5297
  72.577423, 2005.280090556,   -15.2812,   -60.8882,   -21.0781,   -91.7383,   -15.2812,   -60.8882
  72.976036, 2005.699567659,   -15.9491,   -60.2408,   -21.8789,   -90.9883,   -15.9491,   -60.2408
  73.374657, 2006.094651468,   -16.6177,   -59.5902,   -22.7383,   -90.1484,   -16.6177,   -59.5902
  73.773270, 2006.505628177,   -17.2863,   -58.9380,   -23.5781,   -89.3477,   -17.2863,   -58.9380
  74.171883, 2006.877104932,   -17.9544,   -58.2852,   -23.5781,   -89.3477,   -17.9544,   -58.2852
  74.570503, 2007.272255461,   -18.6216,   -57.6325,   -24.4375,   -88.5195,   -18.6216,   -57.6325
  74.969116, 2007.689954524,   -19.2876,   -56.9807,   -25.2969,   -87.6797,   -19.2876,   -56.9807
  75.367737, 2008.096531654,   -19.9541,   -56.3284,   -26.1172,   -86.8867,   -19.9541,   -56.3284
  75.766350, 2008.469461993,   -20.6215,   -55.6757,   -26.9375,   -86.0977,   -20.6215,   -55.6757
  76.164963, 2008.892635888,   -21.2892,   -55.0232,   -27.8164,   -85.2500,   -21.2892,   -55.0232
  76.563583, 2009.271038119,   -21.9568,   -54.3710,   -27.8164,   -85.2500,   -21.9568,   -54.3710
  76.962196, 2009.686948786,   -22.6242,   -53.7195,   -28.6367,   -84.4570,   -22.6242,   -53.7195
  77.360817, 2010.060642877,   -23.2913,   -53.0684,   -29.5078,   -83.6094,   -23.2913,   -53.0684
